method,num_cstep,entry_time,cstep_size,num_pstep,corrector,fid
euler,2,0.9,0.5,32,barker,9.277373
euler,2,0.9,0.5,64,forward_backward,8.946775
euler,2,0.9,0.005,64,mpf,9.074959
euler,2,0.9,0.5,64,barker,8.937658
euler,2,0.9,0.5,128,forward_backward,8.672215
euler,2,0.9,0.005,128,mpf,9.020675
euler,2,0.9,0.5,128,barker,8.677092
euler,2,0.9,1.0,8,forward_backward,12.188177
euler,2,0.9,0.01,8,mpf,20.50142
euler,2,0.9,1.0,8,barker,12.79784
euler,2,0.9,1.0,16,forward_backward,9.89608
euler,2,0.9,0.01,16,mpf,11.9165745
euler,2,0.9,1.0,16,barker,9.895904
euler,2,0.9,1.0,32,forward_backward,8.744705
euler,2,0.9,0.01,32,mpf,9.605587
euler,2,0.9,1.0,32,barker,8.775026
euler,2,0.9,1.0,64,forward_backward,8.411052
euler,2,0.9,0.01,64,mpf,8.963635
euler,2,0.9,1.0,64,barker,8.333976
euler,2,0.9,1.0,128,forward_backward,8.556205
euler,2,0.9,0.01,128,mpf,8.819478
euler,2,0.9,1.0,128,barker,8.40733
euler,2,0.9,2.0,8,forward_backward,16.425716
euler,2,0.9,0.02,8,mpf,31.401455
euler,2,0.9,2.0,8,barker,16.436205
euler,2,0.9,2.0,16,forward_backward,10.6274395
euler,2,0.9,0.02,16,mpf,15.131056
euler,2,0.9,2.0,16,barker,10.8726635
euler,2,0.9,2.0,32,forward_backward,8.66707
euler,2,0.9,0.02,32,mpf,9.903424
euler,2,0.9,2.0,32,barker,8.916188
euler,2,0.9,2.0,64,forward_backward,8.343034
euler,2,0.9,0.02,64,mpf,8.7805
euler,2,0.9,2.0,64,barker,8.374381
euler,2,0.9,2.0,128,forward_backward,8.244043
euler,2,0.9,0.02,128,mpf,8.567064
euler,2,0.9,2.0,128,barker,8.331072
euler,2,0.9,4.0,8,forward_backward,30.182476
euler,2,0.9,0.04,8,mpf,49.908432
euler,2,0.9,4.0,8,barker,30.458809
euler,2,0.9,4.0,16,forward_backward,16.23867
euler,2,0.9,0.04,16,mpf,24.780197
euler,2,0.9,4.0,16,barker,16.691914
euler,2,0.9,4.0,32,forward_backward,10.161227
euler,2,0.9,0.04,32,mpf,12.878502
euler,2,0.9,4.0,32,barker,10.39443
euler,2,0.9,4.0,64,forward_backward,8.587119
euler,2,0.9,0.04,64,mpf,9.047689
euler,2,0.9,4.0,64,barker,8.6039715
euler,2,0.9,4.0,128,forward_backward,8.462692
euler,2,0.9,0.04,128,mpf,8.628113
euler,2,0.9,4.0,128,barker,8.436389
euler,2,0.9,8.0,8,forward_backward,54.72402
euler,2,0.9,0.08,8,mpf,72.04332
euler,2,0.9,8.0,8,barker,54.868774
euler,2,0.9,8.0,16,forward_backward,34.726616
euler,2,0.9,0.08,16,mpf,42.02421
euler,2,0.9,8.0,16,barker,34.274216
euler,2,0.9,8.0,32,forward_backward,17.975906
euler,2,0.9,0.08,32,mpf,21.17825
euler,2,0.9,8.0,32,barker,18.327412
euler,2,0.9,8.0,64,forward_backward,10.718575
euler,2,0.9,0.08,64,mpf,11.028814
euler,2,0.9,8.0,64,barker,10.887873
euler,2,0.9,8.0,128,forward_backward,8.886836
euler,2,0.9,0.08,128,mpf,8.363662
euler,2,0.9,8.0,128,barker,8.995487
euler,2,0.5,0.5,8,forward_backward,15.065008
euler,2,0.5,0.005,8,mpf,15.929741
euler,2,0.5,0.5,8,barker,15.596517
euler,2,0.5,0.5,16,forward_backward,11.086048
euler,2,0.5,0.005,16,mpf,11.658654
euler,2,0.5,0.5,16,barker,11.44529
euler,2,0.5,0.5,32,forward_backward,9.888301
euler,2,0.5,0.005,32,mpf,10.34749
euler,2,0.5,0.5,32,barker,10.082241
euler,2,0.5,0.5,64,forward_backward,9.3226795
euler,2,0.5,0.005,64,mpf,9.643439
euler,2,0.5,0.5,64,barker,9.396099
euler,2,0.5,0.5,128,forward_backward,9.267771
euler,2,0.5,0.005,128,mpf,9.534785
euler,2,0.5,0.5,128,barker,9.183707
euler,2,0.5,1.0,8,forward_backward,15.403431
euler,2,0.5,0.01,8,mpf,16.15799
euler,2,0.5,1.0,8,barker,15.872594
euler,2,0.5,1.0,16,forward_backward,10.830524
euler,2,0.5,0.01,16,mpf,11.115507
euler,2,0.5,1.0,16,barker,11.053038
euler,2,0.5,1.0,32,forward_backward,9.518358
euler,2,0.5,0.01,32,mpf,10.149957
euler,2,0.5,1.0,32,barker,9.570669
euler,2,0.5,1.0,64,forward_backward,8.746639
euler,2,0.5,0.01,64,mpf,9.218308
euler,2,0.5,1.0,64,barker,8.652316
euler,2,0.5,1.0,128,forward_backward,8.853005
euler,2,0.5,0.01,128,mpf,9.338825
euler,2,0.5,1.0,128,barker,8.834962
euler,2,0.5,2.0,8,forward_backward,16.982677
euler,2,0.5,0.02,8,mpf,17.75285
euler,2,0.5,2.0,8,barker,17.10328
euler,2,0.5,2.0,16,forward_backward,10.856304
euler,2,0.5,0.02,16,mpf,11.111111
euler,2,0.5,2.0,16,barker,11.185968
euler,2,0.5,2.0,32,forward_backward,9.150394
euler,2,0.5,0.02,32,mpf,9.564428
euler,2,0.5,2.0,32,barker,9.2037735
euler,2,0.5,2.0,64,forward_backward,8.593067
euler,2,0.5,0.02,64,mpf,9.069862
euler,2,0.5,2.0,64,barker,8.588206
euler,2,0.5,2.0,128,forward_backward,8.201994
euler,2,0.5,0.02,128,mpf,9.036206
euler,2,0.5,2.0,128,barker,8.387862
euler,2,0.5,4.0,8,forward_backward,23.761066
euler,2,0.5,0.04,8,mpf,22.408882
euler,2,0.5,4.0,8,barker,24.095804
euler,2,0.5,4.0,16,forward_backward,13.439115
euler,2,0.5,0.04,16,mpf,11.764681
euler,2,0.5,4.0,16,barker,13.663535
euler,2,0.5,4.0,32,forward_backward,9.576649
euler,2,0.5,0.04,32,mpf,9.742489
euler,2,0.5,4.0,32,barker,9.998515
euler,2,0.5,4.0,64,forward_backward,8.192582
euler,2,0.5,0.04,64,mpf,8.609853
euler,2,0.5,4.0,64,barker,8.299858
euler,2,0.5,4.0,128,forward_backward,8.171853
euler,2,0.5,0.04,128,mpf,8.652435
euler,2,0.5,4.0,128,barker,8.039704
euler,2,0.5,8.0,8,forward_backward,38.49279
euler,2,0.5,0.08,8,mpf,37.804237
euler,2,0.5,8.0,8,barker,39.12975
euler,2,0.5,8.0,16,forward_backward,22.899078
euler,2,0.5,0.08,16,mpf,16.159868
euler,2,0.5,8.0,16,barker,23.424326
euler,2,0.5,8.0,32,forward_backward,13.297533
euler,2,0.5,0.08,32,mpf,9.886465
euler,2,0.5,8.0,32,barker,13.946181
euler,2,0.5,8.0,64,forward_backward,9.285723
euler,2,0.5,0.08,64,mpf,8.528814
euler,2,0.5,8.0,64,barker,9.683498
euler,2,0.5,8.0,128,forward_backward,8.28267
euler,2,0.5,0.08,128,mpf,8.453652
euler,2,0.5,8.0,128,barker,8.467086
