method,num_cstep,entry_time,cstep_size,num_pstep,corrector,fid
euler,2,0.9,0.04,8,mpf,49.494026
euler,2,0.9,4.0,8,barker,36.731354
euler,2,0.9,0.04,8,mpf_full,186.14749
euler,2,0.9,0.04,8,barker_full,165.38068
euler,2,0.9,0.04,16,mpf,24.725466
euler,2,0.9,4.0,16,barker,16.388826
euler,2,0.9,0.04,16,mpf_full,182.35944
euler,2,0.9,0.04,16,barker_full,158.71976
euler,2,0.9,0.04,32,mpf,12.791222
euler,2,0.9,4.0,32,barker,10.703438
euler,2,0.9,0.04,32,mpf_full,167.9963
euler,2,0.9,0.04,32,barker_full,126.54277
euler,2,0.9,0.04,64,mpf,9.358484
euler,2,0.9,4.0,64,barker,8.889237
euler,2,0.9,0.04,64,mpf_full,131.36911
euler,2,0.9,0.04,64,barker_full,72.99373
euler,2,0.9,0.08,8,mpf,70.55679
euler,2,0.9,8.0,8,barker,66.01721
euler,2,0.9,0.08,8,mpf_full,187.25787
euler,2,0.9,0.08,8,barker_full,180.49927
euler,2,0.9,0.08,16,mpf,41.015335
euler,2,0.9,8.0,16,barker,33.946175
euler,2,0.9,0.08,16,mpf_full,186.8287
euler,2,0.9,0.08,16,barker_full,180.27432
euler,2,0.9,0.08,32,mpf,20.371725
euler,2,0.9,8.0,32,barker,17.524704
euler,2,0.9,0.08,32,mpf_full,181.95007
euler,2,0.9,0.08,32,barker_full,169.61465
euler,2,0.9,0.08,64,mpf,11.290733
euler,2,0.9,8.0,64,barker,10.813531
euler,2,0.9,0.08,64,mpf_full,171.05208
euler,2,0.9,0.08,64,barker_full,138.31609
euler,2,0.5,0.005,8,mpf,23.17507
euler,2,0.5,0.5,8,barker,23.485275
euler,2,0.5,0.005,8,mpf_full,81.91867
euler,2,0.5,0.005,8,barker_full,34.856903
euler,2,0.5,0.005,16,mpf,14.117697
euler,2,0.5,0.5,16,barker,13.9956255
euler,2,0.5,0.005,16,mpf_full,26.581675
euler,2,0.5,0.005,16,barker_full,17.27299
euler,2,0.5,0.005,32,mpf,12.214907
euler,2,0.5,0.5,32,barker,11.694432
euler,2,0.5,0.005,32,mpf_full,12.228732
euler,2,0.5,0.005,32,barker_full,13.105465
euler,2,0.5,0.005,64,mpf,10.849915
euler,2,0.5,0.5,64,barker,10.655496
euler,2,0.5,0.005,64,mpf_full,9.373567
euler,2,0.5,0.005,64,barker_full,11.154921
euler,2,0.5,0.01,8,mpf,23.81948
euler,2,0.5,1.0,8,barker,22.476933
euler,2,0.5,0.01,8,mpf_full,149.44775
euler,2,0.5,0.01,8,barker_full,62.072853
euler,2,0.5,0.01,16,mpf,13.910645
euler,2,0.5,1.0,16,barker,13.180395
euler,2,0.5,0.01,16,mpf_full,96.95933
euler,2,0.5,0.01,16,barker_full,24.71483
