seed,nfe,forward_process,predictor_type,corrector_type,num_steps,gibbs_k,gibbs_temperature,anneal_temperature,maskgit_temperature,avg_run_length,error_rate
4,16,CosineSchedule,md4,gibbs,8,16,0.5,True,,4.1488395,0.046850387
0,16,CosineSchedule,md4,gibbs,8,16,1.0,True,,4.2809362,0.045535434
1,16,CosineSchedule,md4,gibbs,8,16,1.0,True,,4.2406573,0.046133857
2,16,CosineSchedule,md4,gibbs,8,16,1.0,True,,4.301654,0.04438582
3,16,CosineSchedule,md4,gibbs,8,16,1.0,True,,4.3799615,0.043039367
4,16,CosineSchedule,md4,gibbs,8,16,1.0,True,,4.288682,0.045094483
0,16,CosineSchedule,md4,gibbs,8,16,2.0,True,,4.5089474,0.04145669
1,16,CosineSchedule,md4,gibbs,8,16,2.0,True,,4.457445,0.04268504
2,16,CosineSchedule,md4,gibbs,8,16,2.0,True,,4.507836,0.041283473
3,16,CosineSchedule,md4,gibbs,8,16,2.0,True,,4.59094,0.0406378
4,16,CosineSchedule,md4,gibbs,8,16,2.0,True,,4.4953294,0.042598423
0,16,CosineSchedule,md4,gibbs,8,16,4.0,True,,4.693803,0.038574807
1,16,CosineSchedule,md4,gibbs,8,16,4.0,True,,4.6674447,0.039291345
2,16,CosineSchedule,md4,gibbs,8,16,4.0,True,,4.7509465,0.037559062
3,16,CosineSchedule,md4,gibbs,8,16,4.0,True,,4.8176446,0.03708661
4,16,CosineSchedule,md4,gibbs,8,16,4.0,True,,4.726212,0.038393706
0,16,CosineSchedule,md4,gibbs,8,1,0.01,False,,7.839294,0.00062204717
1,16,CosineSchedule,md4,gibbs,8,1,0.01,False,,7.644073,0.0005039369
2,16,CosineSchedule,md4,gibbs,8,1,0.01,False,,7.862891,0.0006220471
3,16,CosineSchedule,md4,gibbs,8,1,0.01,False,,7.959704,0.00059055106
4,16,CosineSchedule,md4,gibbs,8,1,0.01,False,,7.7632213,0.00059842505
0,16,CosineSchedule,md4,gibbs,8,1,0.1,False,,7.76228,0.0006456692
1,16,CosineSchedule,md4,gibbs,8,1,0.1,False,,7.6254025,0.000543307
2,16,CosineSchedule,md4,gibbs,8,1,0.1,False,,7.833058,0.0006220471
3,16,CosineSchedule,md4,gibbs,8,1,0.1,False,,7.9075804,0.00057480304
4,16,CosineSchedule,md4,gibbs,8,1,0.1,False,,7.763693,0.000566929
0,16,CosineSchedule,md4,gibbs,8,1,0.5,False,,7.6018524,0.00068503927
1,16,CosineSchedule,md4,gibbs,8,1,0.5,False,,7.4994144,0.00053543295
2,16,CosineSchedule,md4,gibbs,8,1,0.5,False,,7.7524076,0.000606299
3,16,CosineSchedule,md4,gibbs,8,1,0.5,False,,7.782101,0.00061417307
4,16,CosineSchedule,md4,gibbs,8,1,0.5,False,,7.674782,0.000582677
0,16,CosineSchedule,md4,gibbs,8,1,1.0,False,,7.391154,0.0006535431
1,16,CosineSchedule,md4,gibbs,8,1,1.0,False,,7.3134503,0.00055118103
2,16,CosineSchedule,md4,gibbs,8,1,1.0,False,,7.5373926,0.000606299
3,16,CosineSchedule,md4,gibbs,8,1,1.0,False,,7.569038,0.000551181
4,16,CosineSchedule,md4,gibbs,8,1,1.0,False,,7.4293337,0.00063779514
0,16,CosineSchedule,md4,gibbs,8,1,2.0,False,,7.09495,0.00059842505
1,16,CosineSchedule,md4,gibbs,8,1,2.0,False,,7.0663576,0.00048031486
2,16,CosineSchedule,md4,gibbs,8,1,2.0,False,,7.2570586,0.00066141714
3,16,CosineSchedule,md4,gibbs,8,1,2.0,False,,7.2406383,0.00057480304
4,16,CosineSchedule,md4,gibbs,8,1,2.0,False,,7.119417,0.0006692912
0,16,CosineSchedule,md4,gibbs,8,1,4.0,False,,6.744652,0.00061417307
1,16,CosineSchedule,md4,gibbs,8,1,4.0,False,,6.668056,0.0005039369
2,16,CosineSchedule,md4,gibbs,8,1,4.0,False,,6.8485823,0.00076377933
3,16,CosineSchedule,md4,gibbs,8,1,4.0,False,,6.825938,0.00057480304
4,16,CosineSchedule,md4,gibbs,8,1,4.0,False,,6.731174,0.00067716517
0,16,CosineSchedule,md4,gibbs,8,2,0.01,False,,7.616781,0.0007480313
1,16,CosineSchedule,md4,gibbs,8,2,0.01,False,,7.463557,0.0006220471
2,16,CosineSchedule,md4,gibbs,8,2,0.01,False,,7.6867642,0.0008582674
3,16,CosineSchedule,md4,gibbs,8,2,0.01,False,,7.6720214,0.0008110234
4,16,CosineSchedule,md4,gibbs,8,2,0.01,False,,7.552514,0.00074015727
0,16,CosineSchedule,md4,gibbs,8,2,0.1,False,,7.6231313,0.00075590535
1,16,CosineSchedule,md4,gibbs,8,2,0.1,False,,7.457469,0.00066141714
2,16,CosineSchedule,md4,gibbs,8,2,0.1,False,,7.640878,0.00092913356
3,16,CosineSchedule,md4,gibbs,8,2,0.1,False,,7.658251,0.00077165326
4,16,CosineSchedule,md4,gibbs,8,2,0.1,False,,7.555188,0.0007322832
0,16,CosineSchedule,md4,gibbs,8,2,0.5,False,,7.601402,0.00079527544
1,16,CosineSchedule,md4,gibbs,8,2,0.5,False,,7.42072,0.0006456691
2,16,CosineSchedule,md4,gibbs,8,2,0.5,False,,7.660084,0.0008897635
3,16,CosineSchedule,md4,gibbs,8,2,0.5,False,,7.6821513,0.0007559053
4,16,CosineSchedule,md4,gibbs,8,2,0.5,False,,7.5055704,0.00065354316
0,16,CosineSchedule,md4,gibbs,8,2,1.0,False,,7.512178,0.0007165353
1,16,CosineSchedule,md4,gibbs,8,2,1.0,False,,7.383054,0.0006062991
2,16,CosineSchedule,md4,gibbs,8,2,1.0,False,,7.5717244,0.0007716533
3,16,CosineSchedule,md4,gibbs,8,2,1.0,False,,7.5959883,0.0006456691
4,16,CosineSchedule,md4,gibbs,8,2,1.0,False,,7.4831924,0.0006614172
0,16,CosineSchedule,md4,gibbs,8,2,2.0,False,,7.3230734,0.000566929
1,16,CosineSchedule,md4,gibbs,8,2,2.0,False,,7.1914153,0.00059055106
2,16,CosineSchedule,md4,gibbs,8,2,2.0,False,,7.3419757,0.00074803125
3,16,CosineSchedule,md4,gibbs,8,2,2.0,False,,7.312614,0.00061417307
4,16,CosineSchedule,md4,gibbs,8,2,2.0,False,,7.2619996,0.0007086612
0,16,CosineSchedule,md4,gibbs,8,2,4.0,False,,6.9987426,0.000543307
1,16,CosineSchedule,md4,gibbs,8,2,4.0,False,,6.8223004,0.000566929
2,16,CosineSchedule,md4,gibbs,8,2,4.0,False,,7.0546737,0.00071653526
3,16,CosineSchedule,md4,gibbs,8,2,4.0,False,,6.976237,0.000582677
4,16,CosineSchedule,md4,gibbs,8,2,4.0,False,,6.906599,0.0007480313
0,16,CosineSchedule,md4,gibbs,8,4,0.01,False,,8.037172,0.0015590547
