seed,nfe,forward_process,predictor_type,corrector_type,num_steps,gibbs_k,gibbs_temperature,anneal_temperature,maskgit_temperature,avg_run_length,error_rate
4,16,CosineSchedule,md4,gibbs,8,2.0,0.0,True,,6.18477,0.019417323
0,16,CosineSchedule,md4,gibbs,8,2.0,0.1,True,,6.1746264,0.02040158
1,16,CosineSchedule,md4,gibbs,8,2.0,0.1,True,,6.0026264,0.021480313
2,16,CosineSchedule,md4,gibbs,8,2.0,0.1,True,,6.1964464,0.020488193
3,16,CosineSchedule,md4,gibbs,8,2.0,0.1,True,,6.237513,0.02007087
4,16,CosineSchedule,md4,gibbs,8,2.0,0.1,True,,6.099014,0.02085827
0,16,CosineSchedule,md4,gibbs,8,2.0,0.5,True,,6.1785007,0.020551186
1,16,CosineSchedule,md4,gibbs,8,2.0,0.5,True,,6.030908,0.021007877
2,16,CosineSchedule,md4,gibbs,8,2.0,0.5,True,,6.2078667,0.02075591
3,16,CosineSchedule,md4,gibbs,8,2.0,0.5,True,,6.2973533,0.019535434
4,16,CosineSchedule,md4,gibbs,8,2.0,0.5,True,,6.1010485,0.02047244
0,16,CosineSchedule,md4,gibbs,8,2.0,1.0,True,,6.1582866,0.020984247
1,16,CosineSchedule,md4,gibbs,8,2.0,1.0,True,,6.034889,0.021362206
2,16,CosineSchedule,md4,gibbs,8,2.0,1.0,True,,6.154142,0.02095276
3,16,CosineSchedule,md4,gibbs,8,2.0,1.0,True,,6.2778945,0.019527564
4,16,CosineSchedule,md4,gibbs,8,2.0,1.0,True,,6.098723,0.020787407
0,16,CosineSchedule,md4,gibbs,8,2.0,2.0,True,,6.119132,0.02034646
1,16,CosineSchedule,md4,gibbs,8,2.0,2.0,True,,5.9832654,0.0216063
2,16,CosineSchedule,md4,gibbs,8,2.0,2.0,True,,6.098723,0.02145669
3,16,CosineSchedule,md4,gibbs,8,2.0,2.0,True,,6.2108784,0.019960633
4,16,CosineSchedule,md4,gibbs,8,2.0,2.0,True,,6.0706663,0.020606302
0,16,CosineSchedule,md4,gibbs,8,2.0,4.0,True,,6.0116477,0.020685045
1,16,CosineSchedule,md4,gibbs,8,2.0,4.0,True,,5.833827,0.022181107
