seed,nfe,forward_process,predictor_type,corrector_type,num_steps,gibbs_k,gibbs_temperature,anneal_temperature,maskgit_temperature,corrector_step_size,avg_run_length,error_rate
1,128,CosineSchedule,md4,forward_backward,64,,,False,,0.1,8.761123,0.0018661412
2,128,CosineSchedule,md4,forward_backward,64,,,False,,0.1,8.823327,0.001787401
3,128,CosineSchedule,md4,forward_backward,64,,,False,,0.1,8.820894,0.0018346452
4,128,CosineSchedule,md4,forward_backward,64,,,False,,0.1,8.767724,0.001787401
0,128,CosineSchedule,md4,forward_backward,64,,,False,,0.5,8.734817,0.0014015745
1,128,CosineSchedule,md4,forward_backward,64,,,False,,0.5,8.826978,0.0012913382
2,128,CosineSchedule,md4,forward_backward,64,,,False,,0.5,8.788191,0.0013149602
3,128,CosineSchedule,md4,forward_backward,64,,,False,,0.5,8.968611,0.001125984
4,128,CosineSchedule,md4,forward_backward,64,,,False,,0.5,8.741379,0.0012755902
0,128,CosineSchedule,md4,forward_backward,64,,,False,,1.0,8.866108,0.0011811021
1,128,CosineSchedule,md4,forward_backward,64,,,False,,1.0,8.753333,0.0012519682
2,128,CosineSchedule,md4,forward_backward,64,,,False,,1.0,8.8784075,0.0011732279
3,128,CosineSchedule,md4,forward_backward,64,,,False,,1.0,8.807542,0.0013700784
4,128,CosineSchedule,md4,forward_backward,64,,,False,,1.0,8.659181,0.0011811021
0,128,CosineSchedule,md4,forward_backward,64,,,False,,1.5,8.627081,0.0016220468
1,128,CosineSchedule,md4,forward_backward,64,,,False,,1.5,8.74556,0.0013858264
2,128,CosineSchedule,md4,forward_backward,64,,,False,,1.5,8.735413,0.0013228343
3,128,CosineSchedule,md4,forward_backward,64,,,False,,1.5,8.730051,0.0014015745
4,128,CosineSchedule,md4,forward_backward,64,,,False,,1.5,8.593488,0.0014724405
0,128,CosineSchedule,md4,forward_backward,64,,,False,,2.0,8.527649,0.0015511807
1,128,CosineSchedule,md4,forward_backward,64,,,False,,2.0,8.5344715,0.0015511807
